Country,Country Code,Locality Name,Latitude,Longitude,Date,End of sampling,Duration(h.min),Iodine-131 (I-131) Concentration (Bq/m3),Caesium-134 (Cs-134) Concentration (Bq/m3),"Caesium-137 (radiocaesium, Cs-137) Concentration (Bq/m3)"
Sweden,1,RISOE,12.07,55.7,86/04/27,24:00:00,24.0,1,0,0.24
Sweden,1,RISOE,12.07,55.7,86/04/28,24:00:00,24.0,0.0046,0.00054,0.00098
Sweden,1,RISOE,12.07,55.7,86/04/29,12:00,12.0,0.0147,0.0043,0.0074
Sweden,1,RISOE,12.07,55.7,86/04/29,24:00:00,12.0,0.00061,0,0.00009
Sweden,1,RISOE,12.07,55.7,86/04/30,24:00:00,24.0,0.00075,0.0001,0.00028
Sweden,1,RISOE,12.07,55.7,86/05/01,24:00:00,24.0,0.00053,0,0.0002
Sweden,1,RISOE,12.07,55.7,86/05/02,24:00:00,24.0,0.0176,0,0.00022
Sweden,1,RISOE,12.07,55.7,86/05/03,24:00:00,24.0,0.2239,0.00212,0.00356
Sweden,1,RISOE,12.07,55.7,86/05/04,12:00,12.0,0.41,0.0142,0.0227
Sweden,1,RISOE,12.07,55.7,86/05/04,24:00:00,12.0,0.264303,0.014342,0.023966
Sweden,1,RISOE,12.07,55.7,86/05/05,12:00,12.0,0.362,0.00965,0.01544
Sweden,1,RISOE,12.07,55.7,86/05/05,24:00:00,12.0,0.28,0.0046,0.00741
Sweden,1,RISOE,12.07,55.7,86/05/06,12:00,12.0,0.334,0.0073,0.0124
Sweden,1,RISOE,12.07,55.7,86/05/06,24:00:00,12.0,0.164,0.0039,0.0064
Sweden,1,RISOE,12.07,55.7,86/05/07,24:00:00,24.0,0.496,0.0824,0.1544
Sweden,1,RISOE,12.07,55.7,86/05/11,24:00:00,96.0,0.017902,0.007964,0.014449
Sweden,1,RISOE,12.07,55.7,86/05/13,24:00:00,48.0,0.004299,0.000464,0.000739
Sweden,1,RISOE,12.07,55.7,86/05/14,24:00:00,24.0,0.008252,0.001236,0.002272
Sweden,1,RISOE,12.07,55.7,86/05/15,24:00:00,24.0,0.003245,0.000487,0.000881
Sweden,1,RISOE,12.07,55.7,86/05/16,24:00:00,24.0,0.001505,0.000169,0.000292
Sweden,1,RISOE,12.07,55.7,86/05/17,24:00:00,24.0,0.002772,0.000451,0.000783
Sweden,1,RISOE,12.07,55.7,86/05/18,24:00:00,24.0,0.001664,0.000388,0.000745
Sweden,1,RISOE,12.07,55.7,86/05/19,24:00:00,24.0,0.002248,0.001367,0.002421
Sweden,1,RISOE,12.07,55.7,86/05/20,24:00:00,24.0,0.002507,0.001439,0.002599
Sweden,1,RISOE,12.07,55.7,86/05/21,24:00:00,24.0,0.002007,0.000783,0.001323
Sweden,1,RISOE,12.07,55.7,86/05/22,24:00:00,24.0,0.00281,0.001022,0.001773
Sweden,1,RISOE,12.07,55.7,86/05/25,24:00:00,72.0,0.001805,0.001221,0.002275
Sweden,1,RISOE,12.07,55.7,86/05/26,24:00:00,24.0,0.001029,0.000749,0.0013
Sweden,1,RISOE,12.07,55.7,86/05/27,24:00:00,24.0,0.000517,0.000315,0.000594
Sweden,1,RISOE,12.07,55.7,86/05/28,24:00:00,24.0,0.000482,0.000196,0.00033
Sweden,1,RISOE,12.07,55.7,86/05/29,24:00:00,24.0,0.000533,0.000146,0.00033
Denmark,2,AACHEN(RWTH),6.1,50.76,86/05/09,8:45,15.0,0,0.007,1.184
Denmark,2,AACHEN(RWTH),6.1,50.76,86/05/11,17:45,31.3,0,0,1.221
Denmark,2,AACHEN(RWTH),6.1,50.76,86/05/13,19:00,24.0,0,0.001,0.411
Denmark,2,ANSBACH,10.59,49.3,86/04/29,24:00:00,24.0,0.69,0,0.56
Denmark,2,ANSBACH,10.59,49.3,86/04/30,24:00:00,24.0,5.8,0,2.9
Denmark,2,ANSBACH,10.59,49.3,86/05/01,24:00:00,24.0,5.626,0,3.014
Denmark,2,ANSBACH,10.59,49.3,86/05/02,24:00:00,24.0,2.9,0,2.17
Denmark,2,ANSBACH,10.59,49.3,86/05/03,24:00:00,24.0,1.4,0,0.96
Denmark,2,ANSBACH,10.59,49.3,86/05/04,24:00:00,24.0,0.367,0,0.263
Denmark,2,ANSBACH,10.59,49.3,86/05/05,24:00:00,24.0,0.622,0,0.625
Denmark,2,ANSBACH,10.59,49.3,86/05/06,24:00:00,24.0,0.148,0,0.11
Denmark,2,ANSBACH,10.59,49.3,86/05/07,24:00:00,24.0,0.038,0,0.022
Denmark,2,BERLIN-WEST,13.42,52.5,86/04/29,12:00,24.0,0.088,0,0.0012
Denmark,2,BERLIN-WEST,13.42,52.5,86/05/01,12:00,24.0,0.85,0.318,0
Denmark,2,BERLIN-WEST,13.42,52.5,86/05/03,12:00,24.0,0.215,0.0026,0.0026
Denmark,2,BERLIN-WEST,13.42,52.5,86/05/05,12:00,24.0,0.533,0.118,0.0015
Denmark,2,BERLIN-WEST,13.42,52.5,86/05/07,12:00,24.0,0.728,0.087,0.00154
Denmark,2,BERLIN-WEST,13.42,52.5,86/05/09,12:00,24.0,0.012,0.0011,0
Denmark,2,BERLIN-WEST,13.42,52.5,86/05/11,12:00,24.0,0.0063,0.00074,0.14
Denmark,2,BERLIN-WEST,13.42,52.5,86/05/19,12:00,168.0,0.0074,0.00204,2
Denmark,2,BROTJACKLRIEGEL,12.78,49.2,86/04/29,24:00:00,24.0,2.2,0,0.83
Denmark,2,BROTJACKLRIEGEL,12.78,49.2,86/04/30,24:00:00,24.0,19.65,0,11.1
Denmark,2,BROTJACKLRIEGEL,12.78,49.2,86/05/01,24:00:00,24.0,15.6,0,8.8
Denmark,2,BROTJACKLRIEGEL,12.78,49.2,86/05/02,24:00:00,24.0,1.38,0,0.55
Denmark,2,BROTJACKLRIEGEL,12.78,49.2,86/05/03,24:00:00,24.0,1.31,0,1.42
Denmark,2,BROTJACKLRIEGEL,12.78,49.2,86/05/04,24:00:00,24.0,1.25,0,1.12
Denmark,2,BROTJACKLRIEGEL,12.78,49.2,86/05/05,24:00:00,24.0,0.77,0,0.59
Denmark,2,BROTJACKLRIEGEL,12.78,49.2,86/05/06,24:00:00,24.0,0.49,0,0.36
Denmark,2,BROTJACKLRIEGEL,12.78,49.2,86/05/07,24:00:00,24.0,0.5,0,0.36
Denmark,2,BROTJACKLRIEGEL,12.78,49.2,86/05/08,24:00:00,24.0,0.025,0,0.027
Denmark,2,FREIBURG(BZS),7.87,48.0,86/04/30,17:57,3.38,0.76,0.15,0.56
Denmark,2,FREIBURG(BZS),7.87,48.0,86/05/01,15:00,8.0,2.1,0.34,1.1
Denmark,2,FREIBURG(BZS),7.87,48.0,86/05/02,7:40,10.4,5.7,2.1,0.89
Denmark,2,FREIBURG(BZS),7.87,48.0,86/05/02,15:43,3.43,3.9,1.4,0.53
Denmark,2,FREIBURG(BZS),7.87,48.0,86/05/03,9:00,13.32,1.3,0.35,0.38
Denmark,2,FREIBURG(BZS),7.87,48.0,86/05/04,13:57,24.17,0.36,0.11,0.05
